eval,batch,run,stage1_threads,stage2_threads,stage1_callback_batch,stage2_callback_batch,rate_hz,timeout_ms,total_frames,publisher_time_s,publisher_avg_fps,stage1_total_time_s,stage1_total_fps,stage2_total_time_s,stage2_total_fps,stage2_side,pipeline_e2e_s,ytopt_eval_elapsed_s,summary_path,run_log
60,256,1,4,2,512,32,0,200,10000,0.532,18787.27,2.332713,4286.85,2.339074,4275.196081868295,100,2.8589440799551085,17.04311438300647,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_161857,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0060_b256_s1t4_s2t2_s1cb512_s2cb32_r0_to200.log
52,256,1,4,2,1024,32,0,100,10000,0.522,19148.14,2.369405,4220.47,2.346234,4262.1494701721995,100,2.8863410101039335,15.957789200008847,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_161543,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0052_b256_s1t4_s2t2_s1cb1024_s2cb32_r0_to100.log
58,256,1,4,4,512,32,0,100,10000,0.484,20656.74,2.382739,4196.85,2.395748,4174.061712667609,100,2.8891674069454893,16.708005722030066,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_161737,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0058_b256_s1t4_s2t4_s1cb512_s2cb32_r0_to100.log
61,256,1,4,8,512,32,0,200,10000,0.553,18082.77,2.386134,4190.88,2.398476,4169.3141811717105,100,2.9088783729821444,16.02004813705571,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_161917,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0061_b256_s1t4_s2t8_s1cb512_s2cb32_r0_to200.log
55,256,1,4,8,1024,32,0,200,10000,0.525,19042.3,2.466789,4053.85,2.439831,4098.644537265081,100,2.9884473889833316,15.956687296973541,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_161641,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0055_b256_s1t4_s2t8_s1cb1024_s2cb32_r0_to200.log
46,256,1,4,4,1024,32,0,100,10000,0.494,20231.9,2.465991,4055.17,2.446073,4088.1854302794723,100,2.9893240979872644,15.914985109004192,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_161230,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0046_b256_s1t4_s2t4_s1cb1024_s2cb32_r0_to100.log
56,256,1,4,8,512,32,0,100,10000,0.513,19480.54,2.496521,4005.57,2.510301,3983.5860321132805,100,3.003338105045259,15.960332283983007,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_161659,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0056_b256_s1t4_s2t8_s1cb512_s2cb32_r0_to100.log
57,256,1,4,2,1024,32,0,200,10000,0.509,19642.08,2.487054,4020.82,2.465784,4055.5052672902407,100,3.01069845398888,15.999983366928063,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_161718,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0057_b256_s1t4_s2t2_s1cb1024_s2cb32_r0_to200.log
54,256,1,4,12,1024,32,0,100,10000,0.541,18483.05,2.437224,4103.03,2.462972,4060.1354786006495,100,3.0166964839445427,17.16182151599787,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_161621,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0054_b256_s1t4_s2t12_s1cb1024_s2cb32_r0_to100.log
37,256,1,4,2,1024,32,0,500,10000,0.509,19634.93,2.50459,3992.67,2.476079,4038.6433550787356,100,3.0242441409500316,15.959129284950905,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_160919,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0037_b256_s1t4_s2t2_s1cb1024_s2cb32_r0_to500.log
