eval,batch,run,stage1_threads,stage2_threads,stage1_callback_batch,stage2_callback_batch,rate_hz,timeout_ms,total_frames,publisher_time_s,publisher_avg_fps,stage1_total_time_s,stage1_total_fps,stage2_total_time_s,stage2_total_fps,stage2_side,pipeline_e2e_s,ytopt_eval_elapsed_s,summary_path,run_log
51,128,1,4,8,128,32,0,500,10000,0.591,16907.76,3.359366,2976.75,3.315079,3016.5193649985417,100,3.824563867994584,16.609571745968424,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_185314,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0051_b128_s1t4_s2t8_s1cb128_s2cb32_r0_to500.log
1,128,1,4,2,128,32,0,100,10000,0.589,16975.0,3.345713,2988.9,3.272022,3056.214169709128,100,3.8461784070241265,17.999599755974486,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_183737,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0001_b128_s1t4_s2t2_s1cb128_s2cb32_r0_to100.log
55,128,1,4,8,512,32,0,500,10000,0.614,16285.26,3.361192,2975.14,3.244116,3082.5038315522625,100,3.8623449580045417,16.660598707967438,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_185423,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0055_b128_s1t4_s2t8_s1cb512_s2cb32_r0_to500.log
41,128,1,4,8,1024,128,0,500,10000,0.593,16856.41,3.363904,2972.74,2.902109,3445.769955573688,100,3.867989097023383,16.809181504009757,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_185002,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0041_b128_s1t4_s2t8_s1cb1024_s2cb128_r0_to500.log
19,128,1,4,2,128,64,0,100,10000,0.587,17044.59,3.36637,2970.56,3.147559,3177.065147944804,100,3.88242405699566,16.82068371301284,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_184258,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0019_b128_s1t4_s2t2_s1cb128_s2cb64_r0_to100.log
61,128,1,4,4,128,32,0,500,10000,0.606,16489.85,3.391624,2948.44,3.317142,3014.6433285038747,100,3.8840976010542363,16.61027218599338,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_185624,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0061_b128_s1t4_s2t4_s1cb128_s2cb32_r0_to500.log
58,128,1,4,12,128,32,0,500,10000,0.6,16673.5,3.398601,2942.39,3.314598,3016.957109127562,100,3.888737336965278,16.809106908971444,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_185523,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0058_b128_s1t4_s2t12_s1cb128_s2cb32_r0_to500.log
33,128,1,4,8,256,128,0,100,10000,0.588,17012.45,3.374826,2963.12,2.920793,3423.7277342146463,100,3.8887680689804256,16.89374734798912,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_184651,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0033_b128_s1t4_s2t8_s1cb256_s2cb128_r0_to100.log
53,128,1,4,8,128,64,0,500,10000,0.616,16221.67,3.400146,2941.05,3.198236,3126.7236063880214,100,3.903227041999344,16.66100257396465,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_185343,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0053_b128_s1t4_s2t8_s1cb128_s2cb64_r0_to500.log
40,128,1,4,4,128,128,0,500,10000,0.605,16535.95,3.344294,2990.17,2.937809,3403.8972581267194,100,3.9461765000014566,17.263174235005863,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_184942,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0040_b128_s1t4_s2t4_s1cb128_s2cb128_r0_to500.log
