batch,run,rate_hz,stage1_total_fps,stage2_total_fps,stage2_side,pipeline_e2e_s
128,1,1000,803.08,1741.10,60,7.18
128,2,1000,800.68,1853.72,60,7.05
128,3,1000,790.24,1822.66,60,7.14
128,4,1000,799.81,1790.16,60,7.13
128,5,1000,799.55,1798.07,60,7.11
256,1,1000,799.91,1782.27,60,7.12
256,2,1000,801.70,1822.29,60,7.09
256,3,1000,804.69,1803.78,60,7.07
256,4,1000,800.35,1771.65,60,7.17
256,5,1000,804.50,1830.89,60,7.29
512,1,1000,798.84,1764.33,60,7.16
512,2,1000,801.67,1775.35,60,7.14
512,3,1000,801.02,1831.85,60,7.08
512,4,1000,800.43,1795.33,60,7.14
512,5,1000,802.12,1757.56,60,7.15
128,1,2000,1276.84,1723.24,60,5.40
128,2,2000,1268.26,1786.20,60,5.34
128,3,2000,1267.41,1806.60,60,5.31
128,4,2000,1263.76,1786.40,60,5.42
128,5,2000,1275.94,1759.20,60,5.39
256,1,2000,1263.07,1820.27,60,5.34
256,2,2000,1276.81,1808.15,60,5.28
256,3,2000,1288.97,1855.38,60,5.21
256,4,2000,1264.86,1826.95,60,5.32
256,5,2000,1282.81,1822.91,60,5.27
512,1,2000,1275.53,1835.89,60,5.34
512,2,2000,1284.99,1745.46,60,5.35
512,3,2000,1278.34,1799.90,60,5.30
512,4,2000,1275.00,1808.77,60,5.29
512,5,2000,1286.41,1770.93,60,5.31
