runtime,rate_hz,batch,num_frames,publisher_fps,rx_items,expected_frames,missed_frames,stage_total_s,stage_total_fps,valid_stage_fps
PvaPy,1000,128,3600,999.97,3600,3600,0,4.804800,749.25,1
PvaPy,1000,256,3600,999.97,3600,3600,0,4.822068,746.57,1
PvaPy,1000,512,3600,999.97,3600,3600,0,4.841693,743.54,1
PvaPy,2000,128,3600,1999.89,3600,3600,0,3.530115,1019.80,1
PvaPy,2000,256,3600,1999.86,3600,3600,0,3.015418,1193.86,1
PvaPy,2000,512,3600,1999.90,3600,3600,0,3.037985,1185.00,1
PvaPy,2500,128,3600,2499.85,3200,3600,400,177.980655,17.98,0
PvaPy,3000,128,3600,2999.79,2816,3600,784,177.959707,15.82,0
Drava,1000,128,3600,999.55,3600,3600,0,4.609177,781.05,1
Drava,1000,256,3600,999.62,3600,3600,0,4.485729,802.55,1
Drava,1000,512,3600,999.46,3600,3600,0,4.232713,850.52,1
Drava,2000,128,3600,1998.09,3600,3600,0,2.881859,1249.19,1
Drava,2000,256,3600,1997.56,3600,3600,0,2.817194,1277.87,1
Drava,2000,512,3600,1997.66,3600,3600,0,2.705411,1330.67,1
Drava,2500,128,3600,2497.17,3600,3600,0,2.531899,1421.86,1
Drava,2500,256,3600,2497.21,3600,3600,0,2.457462,1464.93,1
Drava,2500,512,3600,2496.47,3600,3600,0,2.362824,1523.60,1
Drava,3000,128,3600,2995.08,3600,3600,0,2.295906,1568.01,1
Drava,3000,256,3600,2995.93,3600,3600,0,2.258594,1593.91,1
Drava,3000,512,3600,2994.74,3600,3600,0,2.154735,1670.74,1
Drava,max,128,3600,19532.25,3600,3600,0,1.665384,2161.66,1
Drava,max,256,3600,21613.38,3600,3600,0,1.293714,2782.69,1
Drava,max,512,3600,22746.86,3600,3600,0,1.277544,2817.91,1
