n_consumers,run,rate_hz,num_frames,publisher_time_s,stage1_rx_frames,stage1_published_frames,union_frames,expected_frames,complete,stage2_matches_stage1,pipeline_e2e_s,pipeline_fps,stage2_wall_s,per_consumer_frames
1,1,1000,3600,3.6,3600,3600,3600,3600,1,1,7.988,450.7,38.247,3600
1,2,1000,3600,3.6,3600,3600,0,3600,0,0,,,35.298,
1,3,1000,3600,3.6,3600,3600,0,3600,0,0,,,35.188,
2,1,1000,3600,3.6,3600,3600,3600,3600,1,1,13.239,271.9,43.511,1808;1792
2,2,1000,3600,3.6,3600,3600,3600,3600,1,1,13.236,272.0,43.504,1808;1792
2,3,1000,3600,3.6,3600,3600,3600,3600,1,1,13.313,270.4,43.619,1792;1808
4,1,1000,3600,3.6,3600,3600,3600,3600,1,1,23.451,153.5,53.785,896;896;896;912
4,2,1000,3600,3.6,3600,3600,3600,3600,1,1,23.497,153.2,53.841,912;896;896;896
4,3,1000,3600,3.6,3600,3600,3600,3600,1,1,23.681,152.0,53.981,896;912;896;896
8,1,1000,3600,3.6,3600,3600,3600,3600,1,1,44.667,80.6,75.062,448;464;448;448;448;448;448;448
8,2,1000,3600,3.6,3600,3600,3600,3600,1,1,44.544,80.8,74.96,448;448;448;448;448;448;464;448
8,3,1000,3600,3.6,3600,3600,3600,3600,1,1,44.176,81.5,74.559,448;448;448;448;464;448;448;448
1,1,2000,3600,1.8,3600,3600,0,3600,0,0,,,33.281,
1,2,2000,3600,1.8,3600,3600,3600,3600,1,1,8.02,448.9,38.31,3600
1,3,2000,3600,1.8,3600,3600,3600,3600,1,1,7.918,454.7,38.152,3600
2,1,2000,3600,1.8,3600,3600,3600,3600,1,1,13.006,276.8,43.25,1808;1792
2,2,2000,3600,1.8,3600,3600,3600,3600,1,1,13.181,273.1,43.452,1808;1792
2,3,2000,3600,1.8,3600,3600,3600,3600,1,1,13.249,271.7,43.549,1808;1792
4,1,2000,3600,1.8,3600,3600,3600,3600,1,1,23.511,153.1,53.825,896;912;896;896
4,2,2000,3600,1.8,3600,3600,3600,3600,1,1,23.68,152.0,54.026,896;912;896;896
4,3,2000,3600,1.8,3600,3600,3600,3600,1,1,23.761,151.5,54.079,912;896;896;896
8,1,2000,3600,1.8,3600,3600,3600,3600,1,1,44.339,81.2,74.774,448;448;448;448;448;448;464;448
8,2,2000,3600,1.8,3600,3600,3600,3600,1,1,44.112,81.6,74.522,448;464;448;448;448;448;448;448
8,3,2000,3600,1.8,3600,3600,3600,3600,1,1,43.798,82.2,74.212,448;448;448;448;448;448;464;448
1,1,2500,3600,1.44,3600,3600,3600,3600,1,1,7.822,460.2,8.043,3600
1,2,2500,3600,1.44,3600,3600,0,3600,0,0,,,32.881,
1,3,2500,3600,1.44,3600,3600,0,3600,0,0,,,32.932,
2,1,2500,3600,1.44,3600,3600,3600,3600,1,1,13.231,272.1,43.503,1808;1792
2,2,2500,3600,1.44,3600,3600,3600,3600,1,1,13.011,276.7,43.301,1792;1808
2,3,2500,3600,1.44,3600,3600,3600,3600,1,1,13.0,276.9,43.251,1808;1792
4,1,2500,3600,1.44,3600,3600,3600,3600,1,1,23.535,153.0,53.871,896;912;896;896
4,2,2500,3600,1.44,3600,3600,3600,3600,1,1,23.47,153.4,53.777,896;896;912;896
4,3,2500,3600,1.44,3600,3600,3600,3600,1,1,23.468,153.4,53.832,896;896;912;896
8,1,2500,3600,1.44,3600,3600,3600,3600,1,1,44.056,81.7,74.47,448;448;448;448;448;448;448;464
8,2,2500,3600,1.44,3600,3600,3600,3600,1,1,44.084,81.7,74.462,464;448;448;448;448;448;448;448
8,3,2500,3600,1.44,3600,3600,3600,3600,1,1,44.183,81.5,74.613,448;448;448;448;448;448;448;464
1,1,3000,3600,1.2,3600,3600,0,3600,0,0,,,32.848,
1,2,3000,3600,1.2,3600,3600,3600,3600,1,1,7.901,455.6,38.149,3600
1,3,3000,3600,1.2,3600,3600,3600,3600,1,1,7.819,460.4,38.05,3600
2,1,3000,3600,1.2,3600,3600,3600,3600,1,1,13.014,276.6,43.302,1808;1792
2,2,3000,3600,1.2,3600,3600,3600,3600,1,1,12.979,277.4,43.28,1792;1808
2,3,3000,3600,1.2,3600,3600,3600,3600,1,1,13.12,274.4,43.405,1808;1792
4,1,3000,3600,1.2,3600,3600,3600,3600,1,1,23.396,153.9,53.743,912;896;896;896
4,2,3000,3600,1.2,3600,3600,3600,3600,1,1,23.45,153.5,53.769,896;896;896;912
4,3,3000,3600,1.2,3600,3600,3600,3600,1,1,23.224,155.0,53.529,912;896;896;896
8,1,3000,3600,1.2,3600,3600,3600,3600,1,1,42.803,84.1,73.159,448;464;448;448;448;448;448;448
8,2,3000,3600,1.2,3600,3600,3600,3600,1,1,44.038,81.7,74.458,448;448;448;448;448;448;464;448
8,3,3000,3600,1.2,3599,3599,3599,3600,0,1,44.2,,74.608,463;448;448;448;448;448;448;448
