rate_hz,batch,run,stage1_total_fps,stage2_total_fps,stage2_side,pipeline_e2e_s
1000,128,1,751.05,776.82,60,4.88
1000,128,2,753.57,779.55,60,4.87
1000,128,3,752.19,778.28,60,4.89
1000,128,4,748.51,773.89,60,4.90
1000,128,5,752.13,777.97,60,4.86
1000,256,1,745.91,795.31,60,4.88
1000,256,2,746.49,795.84,60,4.89
1000,256,3,749.01,798.79,60,4.90
1000,256,4,750.67,0.00,0,4.84
1000,256,5,749.06,0.00,0,4.84
1000,512,1,737.73,0.00,0,4.89
1000,512,2,737.32,0.00,0,4.90
1000,512,3,746.00,0.00,0,4.83
1000,512,4,741.88,0.00,0,4.88
1000,512,5,742.69,0.00,0,4.87
2000,128,1,1015.49,1043.61,60,3.65
2000,128,2,1014.75,0.00,0,3.58
2000,128,3,1015.99,1044.64,60,3.60
2000,128,4,1014.01,1042.00,60,3.62
2000,128,5,1018.19,0.00,0,3.54
2000,256,1,1192.28,0.00,0,3.03
2000,256,2,1194.56,0.00,0,3.02
2000,256,3,1197.04,0.00,0,3.01
2000,256,4,1185.74,0.00,0,3.09
2000,256,5,1193.42,0.00,0,3.03
2000,512,1,1171.63,0.00,0,3.12
2000,512,2,1177.07,0.00,0,3.08
2000,512,3,1187.05,0.00,0,3.05
2000,512,4,1173.37,0.00,0,3.11
2000,512,5,1174.54,0.00,0,3.11
