mode,batch,threads,payload_bytes,frames,pipeline_fps,stage_total_fps,cb_avg_ms,pipeline_e2e_s
noop,8,2,1,100000,7698.16,7843.13,0.015,12.990118
noop,32,2,1,100000,27869.46,29168.57,0.018,3.588158
noop,128,2,1,100000,31447.72,33100.57,0.048,3.179881
noop,256,2,1,100000,29910.73,31439.57,0.066,3.343282
noop,512,2,1,100000,30487.98,32089.93,0.110,3.279981
noop,8,4,1,100000,7779.06,7888.39,0.031,12.855017
noop,32,4,1,100000,28040.07,29601.73,0.035,3.566325
noop,128,4,1,100000,31661.58,33386.89,0.050,3.158403
noop,256,4,1,100000,30957.73,32622.46,0.081,3.230211
noop,512,4,1,100000,31114.31,32847.02,0.129,3.213955
noop,8,8,1,100000,7799.45,7897.51,0.034,12.821422
noop,32,8,1,100000,28104.53,29609.05,0.038,3.558145
noop,128,8,1,100000,31469.02,33165.90,0.054,3.177729
noop,256,8,1,100000,31027.33,32699.05,0.089,3.222965
noop,512,8,1,100000,30814.78,32884.59,0.116,3.245196
cupy,8,2,1,100000,7716.60,7835.21,0.056,12.959080
cupy,32,2,1,100000,27694.61,29052.07,0.061,3.610810
cupy,128,2,1,100000,30962.70,32632.86,0.103,3.229690
cupy,256,2,1,100000,31114.44,32781.79,0.150,3.214000
cupy,512,2,1,100000,31075.46,32865.60,0.201,3.218000
cupy,8,4,1,100000,7802.18,7899.06,0.118,12.817000
cupy,32,4,1,100000,28009.58,29440.79,0.126,3.570206
cupy,128,4,1,100000,31476.41,33123.80,0.135,3.177000
cupy,256,4,1,100000,30885.01,32618.18,0.157,3.238000
cupy,512,4,1,100000,30797.22,32485.76,0.221,3.247000
cupy,8,8,1,100000,7807.94,7903.24,0.125,12.807000
cupy,32,8,1,100000,28092.12,29589.33,0.129,3.559000
cupy,128,8,1,100000,31434.08,33105.56,0.156,3.181000
cupy,256,8,1,100000,31071.98,32900.02,0.185,3.218000
cupy,512,8,1,100000,31546.06,33226.60,0.254,3.170000
