rel_time_s,source,power_w
0.0213,gpu,54.570
0.2464,gpu,53.700
0.4693,gpu,54.560
0.6934,gpu,54.370
0.9184,gpu,54.380
1.1452,gpu,112.710
1.3705,gpu,54.120
1.6021,gpu,112.650
1.8402,gpu,53.180
2.0655,gpu,272.980
2.2930,gpu,55.200
2.5194,gpu,113.140
2.7538,gpu,55.300
2.9775,gpu,67.210
3.2021,gpu,168.870
3.4257,gpu,82.830
3.6503,gpu,278.450
3.8744,gpu,53.590
4.1018,gpu,115.220
4.3252,gpu,53.990
4.5546,gpu,125.930
4.7809,gpu,164.040
5.0132,gpu,162.470
5.2378,gpu,54.740
5.4619,gpu,111.000
5.6898,gpu,125.650
5.9157,gpu,68.360
6.1444,gpu,171.650
6.3674,gpu,103.340
6.5915,gpu,112.780
6.8151,gpu,54.320
7.0393,gpu,116.830
7.2626,gpu,54.020
7.5005,gpu,125.090
7.7275,gpu,109.630
7.9521,gpu,156.590
8.1770,gpu,55.070
8.4092,gpu,114.070
8.6343,gpu,122.680
8.8575,gpu,66.580
9.0817,gpu,167.200
9.3056,gpu,102.770
9.5310,gpu,114.750
9.7595,gpu,52.910
9.9842,gpu,121.140
10.2097,gpu,53.770
10.4371,gpu,215.270
10.6632,gpu,81.210
10.8943,gpu,149.720
11.1189,gpu,55.020
11.3479,gpu,54.760
11.5727,gpu,156.640
11.7967,gpu,65.920
12.0214,gpu,195.820
12.2570,gpu,57.940
12.4816,gpu,114.710
12.7067,gpu,53.340
12.9373,gpu,116.460
13.1708,gpu,240.610
13.3966,gpu,207.760
13.6211,gpu,121.480
13.8496,gpu,149.770
14.0747,gpu,213.120
