batch,run,gpu_energy_j_per_frame,cpu_energy_j_per_frame,total_energy_j_per_frame,stage_fps
2,1,3.3165,4.9999,8.3164,16.93
2,2,3.2457,5.0241,8.2698,16.87
2,3,3.2764,5.0488,8.3253,16.90
2,4,3.2455,4.9628,8.2084,17.05
2,5,3.2281,4.9851,8.2132,17.11
4,1,3.7007,3.0978,6.7985,30.28
4,2,4.0980,3.1992,7.2972,29.72
4,3,3.9474,3.1406,7.0880,30.50
4,4,3.8343,3.0837,6.9179,30.17
4,5,4.1538,3.0575,7.2113,30.39
8,1,4.0917,2.7426,6.8343,32.23
8,2,4.2866,2.8824,7.1690,32.46
8,3,3.9151,2.8051,6.7202,32.33
8,4,4.1168,2.9485,7.0652,32.05
8,5,4.3942,2.7606,7.1548,32.32
16,1,3.5602,2.4806,6.0408,38.23
16,2,3.5898,2.4718,6.0616,38.32
16,3,3.6880,2.4498,6.1379,38.00
16,4,3.2272,2.4879,5.7151,37.96
16,5,3.7661,2.4972,6.2633,38.17
