workload,stage,batch,run,frames,end_to_end_s,callback_compute_s,publish_s,microbatching_wait_s,dispatch_overhead_s,transport_lumped_s,runtime_overhead_pct,stage_total_fps,cb_avg_ms
ptychonn,stage1,32,1,10000,9.965191589028109,28.235087,0.097444,1.0000000004450893e-06,0.0,0.4780055890281094,5.7746063774799214,1054.05,90.519
ptychonn,stage2,32,1,625,9.965191589028109,0.527378,0.0,0.0,8.607719999999999,0.8300935890281096,94.70779868817921,68.42,26.369
ptychonn,stage1,64,1,10000,6.419802650052588,17.551251,0.087836,0.0,0.0,0.48676965005258843,8.950518908052127,1685.48,112.351
ptychonn,stage2,64,1,625,6.419802650052588,1.057862,0.0,0.0,4.487557,0.8743836500525886,83.52189221904922,112.71,105.786
ptychonn,stage1,128,1,10000,4.087824793998152,10.49994,0.086856,0.0,0.0,0.5179517939981522,14.795345311426907,2801.22,134.01
ptychonn,stage2,128,1,625,4.087824793998152,1.797069,0.0,0.0,1.3149509999999998,0.9758047939981522,56.038502368337745,200.83,359.414
ptychonn,stage1,256,1,10000,7.089642476988956,6.931823,0.082476,6.661338147750939e-16,0.0,4.717473476988957,67.70368876242043,4215.55,175.357
ptychonn,stage2,256,1,625,7.089642476988956,5.563054,0.0,0.0,0.11697099999999949,1.4096174769889567,21.532658126892088,110.03,1854.351
ptychonn,stage1,512,1,10000,13.988321128999814,5.230311,0.083439,0.0,0.0,12.172077128999815,87.61248770299072,5505.87,265.687
ptychonn,stage2,512,1,625,13.988321128999814,11.876835,0.0,0.0,0.02811299999999939,2.083373128999815,15.094635800306287,52.5,5938.417
